departamento,provincia,ano,SIN_SEÑALES,ALARMA,GRAVE
AMAZONAS,CASMA,2003,0,0,0
AMAZONAS,CASMA,2004,0,0,0
AMAZONAS,CASMA,2005,0,0,0
AMAZONAS,CASMA,2006,0,0,0
AMAZONAS,CASMA,2007,0,0,0
AMAZONAS,CASMA,2008,0,0,0
AMAZONAS,CASMA,2009,0,0,0
AMAZONAS,CASMA,2010,0,0,0
AMAZONAS,CASMA,2011,0,0,0
AMAZONAS,CASMA,2012,0,0,0
AMAZONAS,CASMA,2013,0,0,0
AMAZONAS,CASMA,2014,0,0,0
AMAZONAS,CASMA,2015,0,0,0
AMAZONAS,CASMA,2016,0,0,0
AMAZONAS,CASMA,2017,0,0,0
AMAZONAS,CASMA,2018,0,0,0
AMAZONAS,CASMA,2019,0,0,0
AMAZONAS,CASMA,2020,0,0,0
AMAZONAS,CASMA,2021,0,0,0
AMAZONAS,CASMA,2022,0,0,0
AMAZONAS,CAÑETE,2000,0,0,0
AMAZONAS,CAÑETE,2001,0,0,0
AMAZONAS,CAÑETE,2002,0,0,0
AMAZONAS,CAÑETE,2003,0,0,0
AMAZONAS,CAÑETE,2004,0,0,0
AMAZONAS,CAÑETE,2005,0,0,0
AMAZONAS,CAÑETE,2006,0,0,0
AMAZONAS,CAÑETE,2007,0,0,0
AMAZONAS,CAÑETE,2008,0,0,0
AMAZONAS,CAÑETE,2009,0,0,0
AMAZONAS,CAÑETE,2010,0,0,0
AMAZONAS,CAÑETE,2011,0,0,0
AMAZONAS,CAÑETE,2012,0,0,0
AMAZONAS,CAÑETE,2013,0,0,0
AMAZONAS,CAÑETE,2014,0,0,0
AMAZONAS,CAÑETE,2015,0,0,0
AMAZONAS,CAÑETE,2016,0,0,0
AMAZONAS,CAÑETE,2017,0,0,0
AMAZONAS,CAÑETE,2018,0,0,0
AMAZONAS,CAÑETE,2019,0,0,0
AMAZONAS,CAÑETE,2020,0,0,0
AMAZONAS,CAÑETE,2021,0,0,0
AMAZONAS,CAÑETE,2022,0,0,0
AMAZONAS,CELENDIN,2000,0,0,0
AMAZONAS,CELENDIN,2001,0,0,0
AMAZONAS,CELENDIN,2002,0,0,0
AMAZONAS,CELENDIN,2003,0,0,0
AMAZONAS,CELENDIN,2004,0,0,0
AMAZONAS,CELENDIN,2005,0,0,0
AMAZONAS,CELENDIN,2006,0,0,0
AMAZONAS,CELENDIN,2007,0,0,0
AMAZONAS,CELENDIN,2008,0,0,0
AMAZONAS,CELENDIN,2009,0,0,0
AMAZONAS,CELENDIN,2010,0,0,0
AMAZONAS,CELENDIN,2011,0,0,0
AMAZONAS,CELENDIN,2012,0,0,0
AMAZONAS,CELENDIN,2013,0,0,0
AMAZONAS,CELENDIN,2014,0,0,0
AMAZONAS,CELENDIN,2015,0,0,0
AMAZONAS,CELENDIN,2016,0,0,0
AMAZONAS,CELENDIN,2017,0,0,0
AMAZONAS,CELENDIN,2018,0,0,0
AMAZONAS,CELENDIN,2019,0,0,0
AMAZONAS,CELENDIN,2020,0,0,0
AMAZONAS,CELENDIN,2021,0,0,0
AMAZONAS,CELENDIN,2022,0,0,0
AMAZONAS,CHACHAPOYAS,2000,0,0,0
AMAZONAS,CHACHAPOYAS,2001,0,0,0
AMAZONAS,CHACHAPOYAS,2002,0,0,0
AMAZONAS,CHACHAPOYAS,2003,0,0,0
AMAZONAS,CHACHAPOYAS,2004,1,0,0
AMAZONAS,CHACHAPOYAS,2005,0,0,0
AMAZONAS,CHACHAPOYAS,2006,2,0,0
AMAZONAS,CHACHAPOYAS,2007,1,0,0
AMAZONAS,CHACHAPOYAS,2008,0,0,0
AMAZONAS,CHACHAPOYAS,2009,0,0,0
AMAZONAS,CHACHAPOYAS,2010,0,0,0
AMAZONAS,CHACHAPOYAS,2011,1,0,0
AMAZONAS,CHACHAPOYAS,2012,0,0,0
AMAZONAS,CHACHAPOYAS,2013,0,0,0
AMAZONAS,CHACHAPOYAS,2014,0,0,0
AMAZONAS,CHACHAPOYAS,2015,3,0,0
AMAZONAS,CHACHAPOYAS,2016,0,0,0
AMAZONAS,CHACHAPOYAS,2017,0,0,0
AMAZONAS,CHACHAPOYAS,2018,1,0,0
AMAZONAS,CHACHAPOYAS,2019,0,1,0
AMAZONAS,CHACHAPOYAS,2020,0,0,0
AMAZONAS,CHACHAPOYAS,2021,13,13,0
AMAZONAS,CHACHAPOYAS,2022,28,4,0
AMAZONAS,CHANCHAMAYO,2000,0,0,0
AMAZONAS,CHANCHAMAYO,2001,0,0,0
AMAZONAS,CHANCHAMAYO,2002,0,0,0
AMAZONAS,CHANCHAMAYO,2003,0,0,0
AMAZONAS,CHANCHAMAYO,2004,0,0,0
AMAZONAS,CHANCHAMAYO,2005,0,0,0
AMAZONAS,CHANCHAMAYO,2006,0,0,0
AMAZONAS,CHANCHAMAYO,2007,0,0,0
AMAZONAS,CHANCHAMAYO,2008,0,0,0
AMAZONAS,CHANCHAMAYO,2009,0,0,0
AMAZONAS,CHANCHAMAYO,2010,0,0,0
AMAZONAS,CHANCHAMAYO,2011,0,0,0
AMAZONAS,CHANCHAMAYO,2012,0,0,0
AMAZONAS,CHANCHAMAYO,2013,0,0,0
AMAZONAS,CHANCHAMAYO,2014,0,0,0
AMAZONAS,CHANCHAMAYO,2015,0,0,0
AMAZONAS,CHANCHAMAYO,2016,0,0,0
AMAZONAS,CHANCHAMAYO,2017,0,0,0
AMAZONAS,CHANCHAMAYO,2018,0,0,0
AMAZONAS,CHANCHAMAYO,2019,0,0,0
AMAZONAS,CHANCHAMAYO,2020,0,0,0
AMAZONAS,CHANCHAMAYO,2021,0,0,0
AMAZONAS,CHANCHAMAYO,2022,0,0,0
AMAZONAS,CHEPEN,2000,0,0,0
AMAZONAS,CHEPEN,2001,0,0,0
AMAZONAS,CHEPEN,2002,0,0,0
AMAZONAS,CHEPEN,2003,0,0,0
AMAZONAS,CHEPEN,2004,0,0,0
AMAZONAS,CHEPEN,2005,0,0,0
AMAZONAS,CHEPEN,2006,0,0,0
AMAZONAS,CHEPEN,2007,0,0,0
AMAZONAS,CHEPEN,2008,0,0,0
AMAZONAS,CHEPEN,2009,0,0,0
AMAZONAS,CHEPEN,2010,0,0,0
AMAZONAS,CHEPEN,2011,0,0,0
AMAZONAS,CHEPEN,2012,0,0,0
AMAZONAS,CHEPEN,2013,0,0,0
AMAZONAS,CHEPEN,2014,0,0,0
AMAZONAS,CHEPEN,2015,0,0,0
AMAZONAS,CHEPEN,2016,0,0,0
AMAZONAS,CHEPEN,2017,0,0,0
AMAZONAS,CHEPEN,2018,0,0,0
AMAZONAS,CHEPEN,2019,0,0,0
AMAZONAS,CHEPEN,2020,0,0,0
AMAZONAS,CHEPEN,2021,0,0,0
AMAZONAS,CHEPEN,2022,0,0,0
AMAZONAS,CHICLAYO,2000,0,0,0
AMAZONAS,CHICLAYO,2001,0,0,0
AMAZONAS,CHICLAYO,2002,0,0,0
AMAZONAS,CHICLAYO,2003,0,0,0
AMAZONAS,CHICLAYO,2004,0,0,0
AMAZONAS,CHICLAYO,2005,0,0,0
AMAZONAS,CHICLAYO,2006,0,0,0
AMAZONAS,CHICLAYO,2007,0,0,0
AMAZONAS,CHICLAYO,2008,0,0,0
AMAZONAS,CHICLAYO,2009,0,0,0
AMAZONAS,CHICLAYO,2010,0,0,0
AMAZONAS,CHICLAYO,2011,0,0,0
AMAZONAS,CHICLAYO,2012,0,0,0
AMAZONAS,CHICLAYO,2013,0,0,0
AMAZONAS,CHICLAYO,2014,0,0,0
AMAZONAS,CHICLAYO,2015,0,0,0
AMAZONAS,CHICLAYO,2016,0,0,0
AMAZONAS,CHICLAYO,2017,0,0,0
AMAZONAS,CHICLAYO,2018,0,0,0
AMAZONAS,CHICLAYO,2019,0,0,0
AMAZONAS,CHICLAYO,2020,0,0,0
AMAZONAS,CHICLAYO,2021,0,0,0
AMAZONAS,CHICLAYO,2022,0,0,0
AMAZONAS,CHINCHA,2000,0,0,0
AMAZONAS,CHINCHA,2001,0,0,0
AMAZONAS,CHINCHA,2002,0,0,0
AMAZONAS,CHINCHA,2003,0,0,0
AMAZONAS,CHINCHA,2004,0,0,0
AMAZONAS,CHINCHA,2005,0,0,0
AMAZONAS,CHINCHA,2006,0,0,0
AMAZONAS,CHINCHA,2007,0,0,0
AMAZONAS,CHINCHA,2008,0,0,0
AMAZONAS,CHINCHA,2009,0,0,0
AMAZONAS,CHINCHA,2010,0,0,0
AMAZONAS,CHINCHA,2011,0,0,0
AMAZONAS,CHINCHA,2012,0,0,0
AMAZONAS,CHINCHA,2013,0,0,0
AMAZONAS,CHINCHA,2014,0,0,0
AMAZONAS,CHINCHA,2015,0,0,0
AMAZONAS,CHINCHA,2016,0,0,0
AMAZONAS,CHINCHA,2017,0,0,0
AMAZONAS,CHINCHA,2018,0,0,0
AMAZONAS,CHINCHA,2019,0,0,0
AMAZONAS,CHINCHA,2020,0,0,0
AMAZONAS,CHINCHA,2021,0,0,0
AMAZONAS,CHINCHA,2022,0,0,0
AMAZONAS,CHOTA,2000,0,0,0
AMAZONAS,CHOTA,2001,0,0,0
AMAZONAS,CHOTA,2002,0,0,0
AMAZONAS,CHOTA,2003,0,0,0
AMAZONAS,CHOTA,2004,0,0,0
AMAZONAS,CHOTA,2005,0,0,0
AMAZONAS,CHOTA,2006,0,0,0
AMAZONAS,CHOTA,2007,0,0,0
AMAZONAS,CHOTA,2008,0,0,0
AMAZONAS,CHOTA,2009,0,0,0
AMAZONAS,CHOTA,2010,0,0,0
AMAZONAS,CHOTA,2011,0,0,0
AMAZONAS,CHOTA,2012,0,0,0
AMAZONAS,CHOTA,2013,0,0,0
AMAZONAS,CHOTA,2014,0,0,0
AMAZONAS,CHOTA,2015,0,0,0
AMAZONAS,CHOTA,2016,0,0,0
AMAZONAS,CHOTA,2017,0,0,0
AMAZONAS,CHOTA,2018,0,0,0
AMAZONAS,CHOTA,2019,0,0,0
AMAZONAS,CHOTA,2020,0,0,0
AMAZONAS,CHOTA,2021,0,0,0
AMAZONAS,CHOTA,2022,0,0,0
AMAZONAS,CONDORCANQUI,2000,0,0,0
AMAZONAS,CONDORCANQUI,2001,0,0,0
AMAZONAS,CONDORCANQUI,2002,1,0,0
AMAZONAS,CONDORCANQUI,2003,0,0,0
AMAZONAS,CONDORCANQUI,2004,1,0,0
AMAZONAS,CONDORCANQUI,2005,0,0,0
AMAZONAS,CONDORCANQUI,2006,0,0,0
AMAZONAS,CONDORCANQUI,2007,1,0,0
AMAZONAS,CONDORCANQUI,2008,86,0,0
AMAZONAS,CONDORCANQUI,2009,3,0,0
AMAZONAS,CONDORCANQUI,2010,24,0,0
AMAZONAS,CONDORCANQUI,2011,5,0,0
AMAZONAS,CONDORCANQUI,2012,20,0,0
AMAZONAS,CONDORCANQUI,2013,1,0,0
AMAZONAS,CONDORCANQUI,2014,2,0,0
AMAZONAS,CONDORCANQUI,2015,2,0,0
AMAZONAS,CONDORCANQUI,2016,2,0,0
